node.nameWithOwner,node.name,node.owner.login,node.createdAt,node.updatedAt,node.primaryLanguage.name,node.stargazers.totalCount,node.totalIssues.totalCount,node.closedIssues.totalCount,node.pullRequests.totalCount,node.releases.totalCount,node.primaryLanguage
github/gitignore,gitignore,github,2010-11-08T20:17:14Z,2024-03-10T20:50:56Z,,156361,0,0,1523,0,
jackfrued/Python-100-Days,Python-100-Days,jackfrued,2018-03-01T16:05:52Z,2024-03-10T21:34:01Z,Python,148189,629,107,13,0,
jlevy/the-art-of-command-line,the-art-of-command-line,jlevy,2015-05-20T15:11:03Z,2024-03-10T21:14:53Z,,145980,239,131,317,0,
Snailclimb/JavaGuide,JavaGuide,Snailclimb,2018-05-07T13:27:00Z,2024-03-10T18:51:18Z,Java,141455,978,921,971,0,
airbnb/javascript,javascript,airbnb,2012-11-01T23:13:50Z,2024-03-10T21:13:13Z,JavaScript,140763,1296,1206,802,0,
ytdl-org/youtube-dl,youtube-dl,ytdl-org,2010-10-31T14:35:07Z,2024-03-10T20:38:15Z,Python,127575,26471,22717,1620,341,
trimstray/the-book-of-secret-knowledge,the-book-of-secret-knowledge,trimstray,2018-06-23T10:43:14Z,2024-03-10T21:44:38Z,,125321,0,0,122,0,
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,AUTOMATIC1111,2022-08-22T14:05:26Z,2024-03-10T21:13:27Z,Python,124927,7145,5217,1659,20,
labuladong/fucking-algorithm,fucking-algorithm,labuladong,2020-02-19T09:01:23Z,2024-03-10T19:24:45Z,Markdown,122670,812,453,233,1,
huggingface/transformers,transformers,huggingface,2018-10-29T13:56:00Z,2024-03-10T21:31:17Z,Python,121769,14248,13468,11821,141,
vercel/next.js,next.js,vercel,2016-10-05T23:32:51Z,2024-03-10T20:12:49Z,JavaScript,118969,19670,17126,16174,1000,
golang/go,go,golang,2014-08-19T04:33:40Z,2024-03-10T20:19:29Z,Go,118464,60659,51964,1,0,
Chalarangelo/30-seconds-of-code,30-seconds-of-code,Chalarangelo,2017-11-29T17:35:03Z,2024-03-10T21:43:31Z,JavaScript,118453,294,294,816,8,
avelino/awesome-go,awesome-go,avelino,2014-07-06T13:42:15Z,2024-03-10T21:13:59Z,Go,118079,624,623,3118,0,
facebook/react-native,react-native,facebook,2015-01-09T18:10:16Z,2024-03-10T21:32:30Z,C++,115015,25493,24680,803,303,
electron/electron,electron,electron,2013-04-12T01:47:36Z,2024-03-10T21:40:24Z,C++,110995,19390,18531,18938,1000,
justjavac/free-programming-books-zh_CN,free-programming-books-zh_CN,justjavac,2013-11-04T01:59:19Z,2024-03-10T19:11:14Z,,108584,0,0,282,3,
yangshun/tech-interview-handbook,tech-interview-handbook,yangshun,2016-07-05T05:00:48Z,2024-03-10T21:13:42Z,TypeScript,107615,88,60,456,0,
d3/d3,d3,d3,2010-09-27T17:22:42Z,2024-03-10T20:52:29Z,Shell,107361,2188,2181,475,193,
kubernetes/kubernetes,kubernetes,kubernetes,2014-06-06T22:56:04Z,2024-03-10T19:58:58Z,Go,105653,44761,42815,57873,656,
axios/axios,axios,axios,2014-08-18T22:30:27Z,2024-03-10T18:17:21Z,JavaScript,103593,4492,3975,812,71,
microsoft/PowerToys,PowerToys,microsoft,2019-05-01T17:44:02Z,2024-03-10T21:34:15Z,C#,102938,26605,21152,4510,94,
nodejs/node,node,nodejs,2014-11-26T19:57:11Z,2024-03-10T21:00:52Z,JavaScript,102279,17312,15792,7646,377,
facebook/create-react-app,create-react-app,facebook,2016-07-17T14:55:11Z,2024-03-10T20:58:17Z,JavaScript,101679,8238,6528,1944,83,
f/awesome-chatgpt-prompts,awesome-chatgpt-prompts,f,2022-12-05T13:54:13Z,2024-03-10T21:20:50Z,HTML,101108,0,0,114,0,
Genymobile/scrcpy,scrcpy,Genymobile,2017-11-21T18:00:27Z,2024-03-10T21:21:24Z,C,99546,4259,2573,76,36,
mrdoob/three.js,three.js,mrdoob,2010-03-23T18:58:01Z,2024-03-10T21:38:23Z,JavaScript,97926,12186,11824,11996,154,
microsoft/TypeScript,TypeScript,microsoft,2014-06-17T15:28:39Z,2024-03-10T21:19:46Z,TypeScript,97146,39493,34097,13714,189,
goldbergyoni/nodebestpractices,nodebestpractices,goldbergyoni,2017-09-15T08:33:19Z,2024-03-10T21:06:38Z,Dockerfile,95708,317,283,765,0,
angular/angular,angular,angular,2014-09-18T16:12:01Z,2024-03-10T20:58:24Z,TypeScript,94072,26957,25563,3520,358,
microsoft/terminal,terminal,microsoft,2017-08-11T18:38:22Z,2024-03-10T20:25:11Z,C++,92987,12146,10674,3547,107,
denoland/deno,deno,denoland,2018-05-15T01:34:26Z,2024-03-10T20:04:12Z,Rust,92522,9474,7645,10085,264,
mui/material-ui,material-ui,mui,2014-08-18T19:11:54Z,2024-03-10T20:00:22Z,TypeScript,91042,18700,17130,17633,448,
rust-lang/rust,rust,rust-lang,2010-06-16T20:39:03Z,2024-03-10T21:41:16Z,Rust,91014,51796,42744,53326,122,
ant-design/ant-design,ant-design,ant-design,2015-04-24T15:37:24Z,2024-03-10T21:06:23Z,TypeScript,89670,28807,27830,13139,637,
ryanmcdermott/clean-code-javascript,clean-code-javascript,ryanmcdermott,2016-11-25T22:25:41Z,2024-03-10T20:33:30Z,JavaScript,88692,152,84,149,0,
puppeteer/puppeteer,puppeteer,puppeteer,2017-05-09T22:16:13Z,2024-03-10T19:58:28Z,TypeScript,86337,6569,6270,4271,361,
iluwatar/java-design-patterns,java-design-patterns,iluwatar,2014-08-09T16:45:18Z,2024-03-10T21:14:13Z,Java,85985,906,704,1242,0,
GrowingGit/GitHub-Chinese-Top-Charts,GitHub-Chinese-Top-Charts,GrowingGit,2019-09-05T03:01:56Z,2024-03-10T21:44:32Z,Java,85726,308,154,0,0,
PanJiaChen/vue-element-admin,vue-element-admin,PanJiaChen,2017-04-17T03:35:49Z,2024-03-10T21:44:05Z,Vue,85723,3570,2346,312,49,
521xueweihan/HelloGitHub,HelloGitHub,521xueweihan,2016-05-04T06:24:11Z,2024-03-10T21:28:11Z,Python,83042,2592,2492,17,40,
papers-we-love/papers-we-love,papers-we-love,papers-we-love,2013-12-15T14:31:41Z,2024-03-10T21:19:24Z,Shell,82290,235,217,425,0,
storybookjs/storybook,storybook,storybookjs,2016-03-18T04:23:44Z,2024-03-10T21:44:27Z,TypeScript,82284,12126,10435,9579,1000,
nvbn/thefuck,thefuck,nvbn,2015-04-08T15:08:04Z,2024-03-10T21:20:38Z,Python,82217,710,467,482,17,
ripienaar/free-for-dev,free-for-dev,ripienaar,2015-03-18T21:06:26Z,2024-03-10T21:45:06Z,HTML,82015,0,0,2422,0,
godotengine/godot,godot,godotengine,2014-01-04T16:05:36Z,2024-03-10T21:17:45Z,C++,81534,48540,38848,31359,54,
microsoft/Web-Dev-For-Beginners,Web-Dev-For-Beginners,microsoft,2020-11-10T02:44:00Z,2024-03-10T20:50:42Z,JavaScript,80657,290,237,478,0,
animate-css/animate.css,animate.css,animate-css,2011-10-12T10:07:38Z,2024-03-10T19:55:21Z,CSS,79522,858,838,315,22,
langchain-ai/langchain,langchain,langchain-ai,2022-10-17T02:58:36Z,2024-03-10T19:34:18Z,Python,78790,6245,4888,8212,320,
fatedier/frp,frp,fatedier,2015-12-21T15:24:59Z,2024-03-10T20:56:18Z,Go,78032,3211,3121,570,91,
gothinkster/realworld,realworld,gothinkster,2016-02-26T20:49:53Z,2024-03-10T19:29:14Z,TypeScript,77863,527,473,427,0,
tailwindlabs/tailwindcss,tailwindcss,tailwindlabs,2017-10-06T14:59:14Z,2024-03-10T21:06:37Z,HTML,76909,3151,3133,1988,219,
iptv-org/iptv,iptv,iptv-org,2018-11-14T22:00:57Z,2024-03-10T21:20:59Z,JavaScript,76757,7547,7537,6142,0,
tensorflow/models,models,tensorflow,2016-02-05T01:15:20Z,2024-03-10T19:56:17Z,Python,76478,7233,6188,2323,41,
tauri-apps/tauri,tauri,tauri-apps,2019-07-13T09:09:37Z,2024-03-10T21:05:45Z,Rust,75677,3600,2908,3772,619,
neovim/neovim,neovim,neovim,2014-01-31T13:39:22Z,2024-03-10T21:04:53Z,Vim Script,74837,10927,9507,12164,36,
MisterBooo/LeetCodeAnimation,LeetCodeAnimation,MisterBooo,2018-12-06T08:01:22Z,2024-03-10T17:45:50Z,Java,74794,59,42,63,0,
tonsky/FiraCode,FiraCode,tonsky,2014-11-11T19:32:38Z,2024-03-10T21:02:45Z,Clojure,74753,1307,931,132,29,
bitcoin/bitcoin,bitcoin,bitcoin,2010-12-19T15:16:43Z,2024-03-10T20:47:28Z,C++,74637,7836,7463,13789,46,
gin-gonic/gin,gin,gin-gonic,2014-06-16T23:57:25Z,2024-03-10T21:40:18Z,Go,74635,2161,1582,971,25,
opencv/opencv,opencv,opencv,2012-07-19T09:40:17Z,2024-03-10T21:04:52Z,C++,74553,10345,7935,11852,62,
macrozheng/mall,mall,macrozheng,2018-04-04T01:11:44Z,2024-03-10T15:42:31Z,Java,74542,485,459,1,3,
nvm-sh/nvm,nvm,nvm-sh,2010-04-15T17:47:47Z,2024-03-10T21:29:21Z,Shell,74490,2101,1753,705,66,
florinpop17/app-ideas,app-ideas,florinpop17,2019-02-25T18:36:56Z,2024-03-10T21:19:28Z,,73801,144,41,149,0,
doocs/advanced-java,advanced-java,doocs,2018-10-06T11:38:30Z,2024-03-10T18:51:20Z,Java,73682,144,141,79,1,
spring-projects/spring-boot,spring-boot,spring-projects,2012-10-19T15:02:57Z,2024-03-10T20:17:50Z,Java,72069,33275,32682,42,266,
gohugoio/hugo,hugo,gohugoio,2013-07-04T15:26:26Z,2024-03-10T19:59:29Z,Go,71709,7060,6612,2355,259,
typicode/json-server,json-server,typicode,2013-11-27T13:21:13Z,2024-03-10T21:13:53Z,JavaScript,70736,1113,532,117,34,
vuejs/awesome-vue,awesome-vue,vuejs,2015-10-20T00:16:14Z,2024-03-10T19:21:35Z,,70629,221,188,3463,0,
excalidraw/excalidraw,excalidraw,excalidraw,2020-01-02T01:04:43Z,2024-03-10T21:35:11Z,TypeScript,69924,3080,1818,3280,13,
jaywcjlove/awesome-mac,awesome-mac,jaywcjlove,2016-07-17T15:33:47Z,2024-03-10T21:23:33Z,JavaScript,69716,398,297,826,7,
tiangolo/fastapi,fastapi,tiangolo,2018-12-08T08:21:47Z,2024-03-10T21:34:40Z,Python,69089,3393,3352,1696,177,
oven-sh/bun,bun,oven-sh,2021-04-14T00:48:17Z,2024-03-10T20:00:16Z,Zig,68742,5631,3338,2614,123,
home-assistant/core,core,home-assistant,2013-09-17T07:29:48Z,2024-03-10T21:37:44Z,Python,67835,46860,44273,55872,1000,
